A,Q393762
AAN,Q10397787
AAP,Q4686051
AAT,unknown
AB,Q4732268
ABB,Q52825
ABBV,Q14662364
ABC,Q470156
ABG,Q4803735
ABM,Q4650338
ABR,unknown
ABT,Q306764
ABX,Q808908
ACC,Q4743275
ACCO,Q288129
ACH,Q447855
ACM,Q2825507
ACN,Q338825
ACP,unknown
ACRE,unknown
ADC,unknown
ADM,Q632694
ADS,unknown
ADX,Q4680345
AEB,unknown
AED,unknown
AEE,Q462984
AEH,unknown
AEL,unknown
AEM,unknown
AEO,Q2842931
AEP,Q464092
AER,Q4687934
AES,Q291508
AET,Q26049
AFB,unknown
AFC,unknown
AFG,Q4743779
AFL,Q26311
AFT,unknown
AGCO,Q292292
AGD,unknown
AGM,Q5439999
AGO,unknown
AGO-B,unknown
AGO-E,unknown
AGO-F,unknown
AGRO,unknown
AGU,unknown
AGX,unknown
AHL,unknown
AHT-D,unknown
AI,unknown
AIG,Q212235
AIN,unknown
AIR,Q4649932
AIT,Q4781544
AIV,Q293796
AIZ,unknown
AJG,unknown
AKO.A,unknown
AKO.B,unknown
AKP,unknown
AKR,Q4671583
AL,Q4698062
ALB,Q127074
ALDW,unknown
ALE,unknown
ALEX,unknown
ALG,Q21198484
ALK,Q822614
ALL,unknown
ALSN,unknown
ALV,Q787044
ALX,unknown
AME,Q470317
AMG,unknown
AMN,unknown
AMOV,unknown
AMP,Q2843129
AMX,unknown
AN,Q784804
ANDV,unknown
ANDX,unknown
ANF,Q319344
ANH-A,unknown
ANTM,Q677488
AOD,unknown
AON,Q739518
AOS,unknown
AP,Q4748076
APA,Q119991
APB,unknown
APC,Q483637
APD,Q407744
APF,unknown
APO,Q619121
APTS,unknown
APTV,unknown
APU,unknown
ARDC,unknown
ARE,unknown
ARI,unknown
ARNC,Q25104597
ARR,unknown
ARR-A,unknown
ARW,Q2059537
ASA,unknown
ASB,unknown
ASGN,unknown
ASR,unknown
ATGE,unknown
ATI,Q1361648
ATO,unknown
ATR,unknown
ATU,unknown
AU,Q541076
AVA,Q4828988
AVB,Q4827537
AVD,unknown
AVK,unknown
AVT,Q4829076
AVX,unknown
AVY,Q790650
AWF,unknown
AWI,Q689446
AWK,Q467238
AWR,unknown
AXE,unknown
AXL,Q4743120
AXP,Q194360
AXS,unknown
AYI,Q4677870
AYR,Q13583352
AZN,Q731938
AZO,Q4826087
AZZ,unknown
B,Q4861529
BA,Q66
BAC,Q487907
BAC-D,unknown
BAC-E,unknown
BAC-I,unknown
BAC-L,unknown
BAF,unknown
BAH,Q893221
BAK,unknown
BAM,Q908324
BAP,unknown
BAX,unknown
BB,unknown
BBF,unknown
BBK,unknown
BBL,Q625713
BBN,unknown
BBT,Q795486
BBT-D,unknown
BBT-E,unknown
BBT-F,unknown
BBVA,Q806189
BBY,Q533415
BC,Q994153
BCE,Q815694
BCH,unknown
BCO,Q2902305
BCR,Q5006774
BCS,Q245343
BCS-D,unknown
BCX,unknown
BDC,unknown
BDJ,unknown
BDN,Q4957288
BDX,Q813780
BEL,Q4045977
BEN,Q744683
BEP,unknown
BERY,unknown
BF.A,unknown
BF.B,unknown
BFK,unknown
BFO,unknown
BFS,unknown
BFZ,unknown
BG,Q1009458
BGB,unknown
BGC,unknown
BGG,Q915543
BGH,unknown
BGR,unknown
BGS,unknown
BGT,unknown
BGX,unknown
BGY,unknown
BH,Q4906978
BHE,Q4886950
BHK,unknown
BHLB,unknown
BHP,unknown
BID,Q654762
BIF,unknown
BIG,Q4905973
BIO,Q2904022
BIO.B,unknown
BIP,unknown
BITA,unknown
BJZ,unknown
BK,unknown
BK-C,unknown
BKD,unknown
BKE,Q4983306
BKH,unknown
BKK,unknown
BKN,unknown
BKS,Q795454
BKT,unknown
BKU,unknown
BLH,unknown
BLK,Q219635
BLL,Q4034815
BLW,unknown
BLX,unknown
BMA,Q2335199
BME,unknown
BMI,unknown
BML-G,unknown
BML-H,unknown
BML-I,unknown
BML-J,unknown
BML-L,unknown
BMO,Q806693
BMS,unknown
BMY,Q266423
BNJ,unknown
BNS,Q451476
BNY,unknown
BOE,unknown
BOH,Q4856124
BP,Q1049970
BPI,Q4966553
BPK,unknown
BPL,Q4983090
BPT,Q4836297
BQH,unknown
BR,unknown
BRC,Q897097
BRFS,Q899097
BRK.B,unknown
BRO,unknown
BRS,unknown
BRT,unknown
BSAC,unknown
BSD,unknown
BSE,unknown
BSL,unknown
BSMX,unknown
BSX,Q894585
BT,Q593786
BTA,unknown
BTI,unknown
BTO,unknown
BTT,unknown
BTZ,unknown
BUD,Q128738
BUI,unknown
BWA,Q825943
BWG,unknown
BWP,unknown
BWXT,unknown
BX,Q880942
BXMX,unknown
BXP,unknown
BYD,unknown
BYM,unknown
BZH,unknown
C,Q219508
C-N,unknown
C-P,unknown
CACI,unknown
CAE,unknown
CAF,unknown
CAG,Q1123399
CAH,unknown
CAJ,Q62621
CAL,Q4112833
CAPL,unknown
CAT,Q459965
CATO,unknown
CB,unknown
CBB,unknown
CBB-B,unknown
CBD,unknown
CBG,Q1023013
CBI,Q5095516
CBL,Q5009135
CBL-D,unknown
CBL-E,unknown
CBM,unknown
CBS,Q950380
CBS.A,unknown
CBT,unknown
CBU,unknown
CBZ,unknown
CCC,unknown
CCJ,Q1028449
CCK,Q5189378
CCL,Q1044059
CCU,unknown
CDR-B,unknown
CE,unknown
CEA,Q291796
CEE,unknown
CEM,unknown
CEO,Q795221
CF,Q905806
CFC-B,unknown
CFR,Q5506152
CFX,unknown
CHA,unknown
CHD,unknown
CHE,unknown
CHH,Q1075788
CHK-D,unknown
CHL,Q741618
CHN,unknown
CHS,unknown
CHSP,unknown
CHT,unknown
CHU,Q1068485
CI,unknown
CIA,unknown
CIB,Q806206
CIEN,unknown
CII,unknown
CIM,unknown
CIR,unknown
CIT,unknown
CKH,unknown
CL,Q609466
CLB,unknown
CLDT,unknown
CLGX,unknown
CLH,Q5130494
CLI,unknown
CLR,unknown
CLS,unknown
CLW,Q5130952
CLX,Q910368
CM,Q666694
CMA,Q1114148
CMC,unknown
CMD,unknown
CMG,Q465751
CMI,Q173476
CMO,unknown
CMP,unknown
CMRE,unknown
CMS,Q5013012
CNA,unknown
CNC,Q5059102
CNI,unknown
CNK,unknown
CNO,unknown
CNP,unknown
CNQ,Q1032229
CNS,unknown
CODI,unknown
COF,Q1034654
COF-P,unknown
COG,unknown
COL,Q461210
COO,unknown
COP,Q214763
COR,unknown
COT,unknown
CP,unknown
CPA,unknown
CPB,unknown
CPF,Q5061578
CPG,unknown
CPK,unknown
CPL,Q1121216
CPN,Q5023914
CPT,Q5025803
CR,unknown
CRH,Q1053299
CRI,unknown
CRL,Q5082076
CRM,Q941127
CRR,unknown
CRS,unknown
CRT,unknown
CRY,unknown
CS,Q372657
CSL,Q5041354
CSS,Q5014304
CSU,Q5035662
CSV,unknown
CTB,Q1129847
CTL,unknown
CTR,unknown
CTS,unknown
CTW,unknown
CUB,Q5192235
CUBE,Q5192200
CUBI,unknown
CUK,unknown
CULP,unknown
CUZ,Q5178840
CVA,unknown
CVE,unknown
CVG,Q1129426
CVI,unknown
CVS,Q624375
CVX,Q319642
CW,Q1138291
CWT,unknown
CXH,unknown
CXO,unknown
CXW,Q1135278
CYD,unknown
CYS,unknown
CYS-A,unknown
D,Q677464
DAL,Q188920
DAN,Q5214701
DAR,unknown
DB,Q66048
DBD,unknown
DBL,unknown
DCI,Q5295362
DCM,Q853958
DCO,unknown
DCP,unknown
DDD,unknown
DDF,unknown
DDR,Q1206686
DDR-J,unknown
DDS,Q844805
DDT,unknown
DE,Q496302
DECK,unknown
DEI,unknown
DEL,unknown
DEO,Q161140
DEX,unknown
DFS,Q5281775
DG,unknown
DGX,Q7271456
DHG,unknown
DHI,Q5203782
DHR,Q1159256
DIN,Q5278020
DIS,Q7414
DKL,unknown
DKS,Q5272601
DKT,unknown
DLB,unknown
DLR,unknown
DLX,Q5254919
DMO,unknown
DNB,Q1265181
DNI,unknown
DNP,unknown
DO,unknown
DOV,Q16974527
DPG,unknown
DPS,Q1254149
DPZ,Q839466
DRE,unknown
DRH,unknown
DRI,unknown
DRQ,unknown
DS-B,unknown
DSM,unknown
DST,Q5206198
DSU,unknown
DSW,Q5206207
DTE,Q5206232
DTF,unknown
DTK,unknown
DUC,unknown
DUK,unknown
DVA,Q5207184
DVN,Q1206980
DX,unknown
DX-A,unknown
DXB,unknown
DY,unknown
DYN,unknown
E,Q565594
EAT,unknown
EBF,unknown
EBS,unknown
EC,unknown
ECL,Q1282031
ED,unknown
EDD,unknown
EDF,unknown
EDI,unknown
EDR,unknown
EDU,Q13631921
EE,unknown
EEA,unknown
EEP,unknown
EEQ,unknown
EFC,unknown
EFR,unknown
EFT,unknown
EFX,unknown
EGF,unknown
EGHT,unknown
EGN,Q5376825
EGP,unknown
EHI,unknown
EIG,unknown
EIX,Q662095
EL,unknown
ELLI,unknown
ELS,unknown
ELY,Q1027181
EMD,unknown
EME,Q5370289
EMF,unknown
EMN,Q899022
EMO,unknown
EMR,Q1335585
ENB,unknown
ENIA,unknown
ENLK,unknown
ENS,unknown
ENV,unknown
EOCC,Q3053992
EOD,unknown
EOG,unknown
EOI,unknown
EOS,unknown
EOT,unknown
EP-C,unknown
EPAM,unknown
EPC,unknown
EPD,unknown
EPR,unknown
EPR-C,unknown
EPR-E,unknown
EQC,unknown
EQC-D,unknown
EQM,unknown
EQR,Q187740
EQT,Q5323987
ERJ,Q105557
ES,Q3344199
ESE,unknown
ESL,Q18148411
ESS,unknown
ESTE,unknown
ETB,unknown
ETG,unknown
ETH,unknown
ETJ,unknown
ETM,unknown
ETN,Q48872
ETO,unknown
ETP,Q5377000
ETR,Q1344587
ETV,unknown
ETW,unknown
ETY,unknown
EV,Q5331380
EVF,unknown
EVG,unknown
EVN,unknown
EVR,unknown
EVT,unknown
EW,unknown
EXC,Q1383669
EXD,unknown
EXG,unknown
EXP,unknown
EXPR,unknown
EXR,Q5422162
F,Q44294
FAF,unknown
FAM,unknown
FBC,unknown
FBHS,unknown
FBR,unknown
FC,unknown
FCF,Q5452773
FCFS,unknown
FCN,unknown
FCT,unknown
FDP,unknown
FDS,unknown
FDX,Q459477
FE,Q1419248
FEI,unknown
FEO,unknown
FET,Q20708639
FF,unknown
FFA,unknown
FFC,unknown
FFG,Q5424650
FHN,Q1419446
FHY,unknown
FICO,unknown
FIF,unknown
FII,unknown
FIS,unknown
FIX,unknown
FL,Q63335
FLC,unknown
FLO,unknown
FLR,unknown
FLS,unknown
FLT,unknown
FLY,Q5426582
FMC,Q899183
FMN,unknown
FMO,unknown
FMS,unknown
FMX,Q1435628
FMY,unknown
FN,unknown
FNB,Q5426765
FNV,Q5484477
FOF,unknown
FPT,unknown
FR,unknown
FRA,unknown
FRC,unknown
FRT,unknown
FSD,unknown
FSS,Q1400073
FT,unknown
FUL,Q20486915
FUN,Q657648
G,unknown
GAB-G,unknown
GAB-H,unknown
GAM,unknown
GAM-B,unknown
GATX,unknown
GBAB,unknown
GBL,unknown
GBX,Q7738224
GCH,unknown
GCO,unknown
GD,Q502940
GDL,unknown
GDO,unknown
GDOT,Q16975278
GDV,unknown
GDV-A,unknown
GDV-D,unknown
GE,Q54173
GEF,unknown
GEF.B,unknown
GEL,unknown
GEO,Q1502794
GES,unknown
GF,unknown
GFF,Q16840288
GFY,unknown
GG,unknown
GGG,Q5591659
GGP,Q3100500
GGT,unknown
GHC,Q3121014
GHL,unknown
GHM,unknown
GHY,unknown
GIB,Q1798370
GIL,unknown
GIM,unknown
GIS,Q629998
GLOG,unknown
GLP,unknown
GLT,Q726654
GLW,unknown
GM,Q81965
GME,Q202210
GMED,Q18344949
GNC,unknown
GNE-A,unknown
GNRC,unknown
GOF,unknown
GPC,Q5533818
GPI,Q5611081
GPK,unknown
GPM,unknown
GPN,Q5570544
GPS,Q420822
GPX,unknown
GRA,Q498746
GRC,unknown
GRR,unknown
GRX,unknown
GS,Q193326
GS-A,unknown
GS-B,unknown
GS-C,unknown
GS-D,unknown
GSH,Q837982
GSK,Q212322
GTS,Q7843323
GTY,unknown
GUT,unknown
GVA,Q5595849
GWR,Q1230295
GWRE,unknown
GWW,Q1627894
GXP,Q5599779
GYB,unknown
GYC,unknown
GZT,unknown
H,Q1425063
HAE,Q16980281
HAL,Q656165
HBI,unknown
HCA,unknown
HCI,unknown
HCN,unknown
HCN-I,unknown
HCP,unknown
HD,Q864407
HDB,unknown
HE,Q5684524
HEI,unknown
HEI.A,unknown
HEP,unknown
HEQ,unknown
HES,Q1615684
HF,Q5881333
HFC,Q5881864
HHC,unknown
HI,Q5763038
HIG,unknown
HII,Q7257522
HIW,unknown
HIX,unknown
HJV,unknown
HLF,Q572948
HLS,Q5690400
HMC,Q9584
HMN,unknown
HNI,unknown
HNP,Q1507642
HOG,Q192814
HON,Q898208
HP,unknown
HPF,unknown
HPI,unknown
HPP,unknown
HPS,unknown
HQH,unknown
HQL,unknown
HR,unknown
HRB,Q5627799
HRC,Q5761967
HRG,Q147224
HRL,unknown
HRS,unknown
HSBC,Q190464
HSEA,unknown
HSEB,unknown
HST,Q1630559
HSY,Q1056637
HT,unknown
HTD,unknown
HTGC,unknown
HTH,unknown
HTY,unknown
HUBB,unknown
HUM,Q910866
HUN,Q851361
HVT,Q5683881
HVT.A,unknown
HXL,Q5748967
HY,Q19876423
HYB,unknown
HYI,unknown
HYT,unknown
HZO,unknown
IAE,unknown
IBA,Q4838903
IBM,Q37156
IBN,Q1653258
ICB,unknown
IDA,unknown
IDE,unknown
IDT,unknown
IEX,Q5970002
IFF,unknown
IFN,unknown
IGA,unknown
IGD,unknown
IGI,unknown
IGR,unknown
IHC,unknown
IHD,unknown
IHG,Q1424962
IID,unknown
IIF,unknown
IMAX,unknown
INB,unknown
INF,unknown
INFY,Q26989
ING,Q645708
INGR,unknown
INN,unknown
INSI,unknown
INT,Q8035757
INXN,unknown
IP,Q202972
IPG,unknown
IPHI,unknown
IR,Q1663044
IRET,unknown
IRL,unknown
IRS,unknown
ISD,unknown
ISF,unknown
ISG,unknown
IT,unknown
ITCB,unknown
ITG,Q6060808
ITUB,Q1424293
ITW,unknown
IVC,Q4994426
IVR,unknown
IVR-A,unknown
IVZ,unknown
IX,Q906055
JBL,Q2171646
JBN,unknown
JBR,unknown
JBT,Q3156864
JCE,unknown
JDD,unknown
JEQ,unknown
JFR,unknown
JHI,unknown
JHS,unknown
JHX,unknown
JLL,Q1703389
JLS,unknown
JMF,unknown
JMM,unknown
JMT,unknown
JNJ,Q333718
JNPR,Q1049080
JOE,unknown
JOF,unknown
JPC,unknown
JPI,unknown
JPM,Q192314
JPS,unknown
JQC,unknown
JRI,unknown
JRO,unknown
JRS,unknown
JSD,unknown
JTA,unknown
JTD,unknown
JW.A,unknown
JW.B,unknown
JWN,Q174310
K,Q856897
KAI,unknown
KAMN,unknown
